Date,2021 Difference from 2019 in congestion
04-01-2021,-0.09
05-01-2021,-0.18
06-01-2021,-0.13
07-01-2021,-0.19
08-01-2021,-0.18
09-01-2021,-0.11
10-01-2021,0
11-01-2021,-0.12
12-01-2021,-0.14
13-01-2021,-0.13
14-01-2021,-0.28
15-01-2021,-0.24
16-01-2021,0
17-01-2021,-0.08
18-01-2021,-0.21
19-01-2021,-0.18
20-01-2021,-0.2
21-01-2021,-0.19
22-01-2021,-0.2
23-01-2021,-0.08
24-01-2021,-0.15
25-01-2021,-0.3
26-01-2021,-0.75
27-01-2021,-0.31
28-01-2021,-0.14
29-01-2021,-0.18
30-01-2021,-0.03
31-01-2021,-0.08
01-02-2021,-0.12
02-02-2021,-0.18
03-02-2021,-0.16
04-02-2021,-0.07
05-02-2021,-0.11
06-02-2021,-0.26
07-02-2021,0.08
08-02-2021,-0.12
09-02-2021,-0.11
10-02-2021,-0.13
11-02-2021,-0.12
12-02-2021,-0.16
13-02-2021,0
14-02-2021,0.12
15-02-2021,-0.16
16-02-2021,-0.09
17-02-2021,-0.22
18-02-2021,-0.21
19-02-2021,-0.18
20-02-2021,0
21-02-2021,-0.04
22-02-2021,-0.21
23-02-2021,-0.2
24-02-2021,-0.18
25-02-2021,-0.19
26-02-2021,-0.22
27-02-2021,-0.05
28-02-2021,-0.08
01-03-2021,-0.16
02-03-2021,-0.18
03-03-2021,-0.18
04-03-2021,-0.19
05-03-2021,-0.18
06-03-2021,-0.03
07-03-2021,-0.08
08-03-2021,-0.19
09-03-2021,-0.18
10-03-2021,-0.16
11-03-2021,-0.35
12-03-2021,-0.13
13-03-2021,-0.08
14-03-2021,-0.08
15-03-2021,-0.12
16-03-2021,-0.23
17-03-2021,-0.18
18-03-2021,-0.19
19-03-2021,-0.16
20-03-2021,-0.03
21-03-2021,-0.08
22-03-2021,-0.28
23-03-2021,-0.18
24-03-2021,-0.18
25-03-2021,-0.16
26-03-2021,-0.18
27-03-2021,-0.13
28-03-2021,-0.46
29-03-2021,-0.95
30-03-2021,-0.5
31-03-2021,-0.33
01-04-2021,-0.26
02-04-2021,-0.4
03-04-2021,-0.16
04-04-2021,-0.15
05-04-2021,-0.19
06-04-2021,-0.23
07-04-2021,-0.22
08-04-2021,-0.23
09-04-2021,-0.27
10-04-2021,-0.21
11-04-2021,-0.23
12-04-2021,-0.3
13-04-2021,-0.41
14-04-2021,-0.53
15-04-2021,-0.44
16-04-2021,-0.29
17-04-2021,-0.74
18-04-2021,-0.81
19-04-2021,-0.3
20-04-2021,-0.75
21-04-2021,-0.76
22-04-2021,-0.74
23-04-2021,-0.76
24-04-2021,-0.79
25-04-2021,-0.85
26-04-2021,-0.77
27-04-2021,-0.8
28-04-2021,-0.8
29-04-2021,-0.81
30-04-2021,-0.82
01-05-2021,-0.87
02-05-2021,-0.92
03-05-2021,-0.86
04-05-2021,-0.84
05-05-2021,-0.84
06-05-2021,-0.84
07-05-2021,-0.87
08-05-2021,-0.84
09-05-2021,-0.88
10-05-2021,-0.84
11-05-2021,-0.86
12-05-2021,-0.87
13-05-2021,-0.86
14-05-2021,-0.91
15-05-2021,-0.87
16-05-2021,-0.92
17-05-2021,-0.84
18-05-2021,-0.82
19-05-2021,-0.78
20-05-2021,-0.81
21-05-2021,-0.82
22-05-2021,-0.82
23-05-2021,-0.88
24-05-2021,-0.81
25-05-2021,-0.82
