,timestamp,PM2.5,Temperature_in_°C,Relative_Temp_in_°C,Wind_Speed_in_Kmph,Rel_Humidity,Dew_Point_in_°C,Atmospheric_Pressure_in_mb,Thunder,Few_clouds,Rain,Clear,Cloudy
0,01-06-2015 00:30,73,32,31,7,0.27,11,1002,1,0,0,0,0
1,01-06-2015 01:30,143,32,30.25,11.5,0.2625,10.25,1000.5,1,0,0,0,0
2,01-06-2015 02:30,100,32,30,13,0.26,10,1000,1,0,0,0,0
3,01-06-2015 03:30,206,31,29,9,0.27,10,1000,0,1,0,0,0
4,01-06-2015 04:30,328,28,28,22,0.42,14,1002,1,0,0,0,0
5,01-06-2015 05:30,178,28,28,13,0.4,13,1002,1,0,0,0,0
6,01-06-2015 06:30,92,27,27,11,0.48,15,1003,1,0,0,0,0
7,01-06-2015 07:30,24,27,27,19,0.51,16,1002,0,0,0,0,0
8,01-06-2015 08:30,167,31,29,17,0.27,10,1002,0,1,0,0,0
9,01-06-2015 09:30,108,34,32,13,0.2,8,1003,0,1,0,0,0
10,01-06-2015 10:30,97,35,33,17,0.22,10,1003,1,0,0,0,0
11,01-06-2015 11:30,212,36,34,15,0.19,9,1004,1,0,0,0,0
12,01-06-2015 12:30,114,36,34,19,0.2,10,1004,1,0,0,0,0
13,01-06-2015 13:30,59,33.5,32,19.5,0.265,11.5,1004.5,1,0,0,0,0
14,01-06-2015 14:30,88,31,30,22,0.33,13,1005,1,0,0,0,0
15,01-06-2015 15:30,27,33,32,15,0.28,12,1003,1,0,0,0,0
16,01-06-2015 16:30,120,33,32,15,0.28,12,1004,1,0,0,0,0
17,01-06-2015 17:30,100,35,33,11,0.23,11,1001,1,0,0,0,0
18,01-06-2015 18:30,98,35,33,9,0.23,11,1002,1,0,0,0,0
19,01-06-2015 19:30,146,33,31,7,0.26,11,1003,1,0,0,0,0
20,01-06-2015 20:30,64,28.5,28,14.5,0.425,14,1005.25,1,0,0,0,0
